ID,Acessibilidade_fisica,Infraestruturas_dificuldade_locomocao,Infraestrutura_auditivas_visuais,Outras_infra_auditivas_visuais,Título,Esfera,Status de Funcionamento,Tipo,Temática,Estado,Município,Site Oficial,Link no MuseusBR
144518,- NÃO POSSUI -,--,- NÃO POSSUI -,--,Herbário Urutaíno - UR,PÚBLICA – Federal,Aberto,"Jardim zoológico, botânico, herbário, oceanário ou planetário","Ciências exatas, da terra, biológicas e da saúde",GO,Urutaí,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=144518
145583,- NÃO POSSUI -,--,--,--,Coleção de Tecidos Biológicos e DNA da Fauna Maranhense,PÚBLICA – Estadual/Distrital,Aberto,,"Ciências exatas, da terra, biológicas e da saúde",MA,São Luís,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=145583
146837,- NÃO POSSUI -,--,- NÃO POSSUI -,--,Museu Virtual da Educação,PRIVADA – Associação,Aberto,Virtual,"Educação, esporte e lazer",RJ,Rio de Janeiro,www.museuvirtualdaeducacao.org.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=146837
147215,- NÃO POSSUI -,--,- NÃO POSSUI -,--,Museu do Café - Universidade Estadual Paulista,PÚBLICA – Estadual/Distrital,Fechado,Clássico/Tradicional,História,SP,Botucatu,https://www.fca.unesp.br/#!/museudocafe,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=147215
150359,- NÃO POSSUI -,--,- NÃO POSSUI -,--,Museu José Nogueira de Melo,PRIVADA – Associação,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",CE,Caririaçu,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=150359
153096,- NÃO POSSUI -,--,- NÃO POSSUI -,--,Museu Estadual Oficina de Criatividade do Hospital Psiquiátrico São Pedro (MEOC-HPSP),PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",RS,Porto Alegre,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=153096
174155,- NÃO POSSUI -,--,- NÃO POSSUI -,--,Museu Acelino Rodrigues de Oliveira ARO,PÚBLICA – Municipal,Aberto,"Jardim zoológico, botânico, herbário, oceanário ou planetário",História,MT,Itiquira,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=174155
176240,- NÃO POSSUI -,--,- NÃO POSSUI -,--,MUSEU MEMORIAL ALDEIA OLOROKE TI EFON,PRIVADA – Organização Religiosa,Aberto,Clássico/Tradicional,Antropologia e arqueologia,RJ,Rio de Janeiro,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=176240
209658,- NÃO POSSUI -,--,- NÃO POSSUI -,--,Acervo Artístico UFSM - Universidade Federal de Santa Maria,PÚBLICA – Federal,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",RS,Santa Maria (Rio Grande do Sul),https://www.ufsm.br/pro-reitorias/pre/cca/divisao-de-museus-ufsm/acervo-artistico-ufsm,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=209658
210561,- NÃO POSSUI -,--,- NÃO POSSUI -,--,museu teste yris,PRIVADA – Não informada,Aberto,Clássico/Tradicional,Antropologia e arqueologia,DF,Brasília,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=210561
