ID,Título,Status do Museu,Localização,Geolocalização manual
80184,Museu Histórico e Artístico de Cláudio,Aberto,"-20.444151,-44.76776",False
80185,Museu Histórico e Cultural de Holambra,Aberto,"-22.620311,-47.061265",False
80186,Museu do Sambaqui da Beirada,Aberto,"-22.9153931356998,-42.4552917480469",False
80187,Museu da Música Tonico &amp; Tinoco e Pedro Bento &amp; Zé da Estrada,Aberto,"-22.8103695,-48.6660146",False
80188,Museu e Biblioteca Érico Mário Raabe,Aberto,"-30.1916723314517,-52.3723411560059",False
80189,Museu Didático do Corpo Humano - Universidade de Taubaté - UNITAL,Aberto,"-23.030982,-45.565335",False
80190,Museu do Horto,Aberto,"-22.967141,-43.237195",False
80191,Museu do Zé do Carmo,Aberto,"-7.5601404,-34.9950166",False
80192,Museu Histórico de Sinop,Aberto,"-11.8582581743183,-55.504732131958",False
80193,Museu de Paleontologia de Marília,Fechado,"-22.218802,-49.948385",False
80194,Memorial da Advocacia Sergipana,Aberto,"-10.9248794,-37.0436819",False
80195,Museu do Café - Campinas,Fechado,"-22.877097,-47.061723",False
80196,Museu da Água de Piracicaba,Aberto,"-22.7192748,-47.6544309",False
80197,Museu Municipal Histórico e Pedagógico Comendador Virgolino de Oliveira,Aberto,"-22.4398339,-46.8211019",False
80198,Museu Arqueológico do Carste do Alto São Francisco,Aberto,"-20.370944,-45.66312",False
80199,Museu Padre Antônio Brilhante,Aberto,"-6.099633531042815,-37.63838768005371",False
80200,Museu Antonio Parreiras,Aberto,"-22.9016929,-43.1261265",False
80201,"Museu Histórico, Folclórico e Pedagógico Monteiro Lobato",Aberto,"-23.003867,-45.529699",False
80202,Reserva Ecológica da Juatinga,Aberto,"-23.223605,-44.723125",False
80203,Museu Casa do Colono,Aberto,"-22.524746,-43.186149",False
80204,Museu de Anatomia da Universidade Federal de Mato Grosso do Sul,Fechado,"-20.5092605,-54.6217169",False
80205,Parque Estadual da Serra da Tiririca,Aberto,"-22.972867,-43.036462",False
80206,Herbário do Departamento de Botânica (Universidade de São Paulo),Aberto,"-23.5660914,-46.7311918",False
80207,Museu Municipal de Luminárias Professor Doutor Carlos Ribeiro Diniz,Aberto,"-21.512099,-44.9047974",False
80208,Casa das Canoas,Fechado,"-22.991427,-43.274191",False
80209,Fundação José e Paulina Nemirovsky,Aberto,"-23.5355398,-46.638866",False
80210,Memorial Feminino da Academia Literária,Aberto,"-30.0333106,-51.2211742",False
80211,Centro Cultural do Patrimônio Paço Imperial,Aberto,"-22.9036033,-43.1742886",False
80212,Museu Histórico da Fortaleza de Santo Amaro da Barra Grande,Aberto,"-23.9942804547333,-46.3067293167114",False
80213,Museu Vivo do Padre Cícero - Casarão do Padre Cícero,Aberto,"-7.19661,-39.307952",False
80214,Museu Janete Costa de Arte Popular,Aberto,"-22.903677,-43.125027",False
80215,Museu Latino Americano,Aberto,"-20.456599,-54.621162",False
80217,Museu Histórico Municipal José Fontoura Ferreira,Aberto,"-29.177662725174,-53.1594407558441",False
