ID,Logradouro,Número,Complemento,Bairro,CEP,Município,UF,Localização,Geolocalização manual
80985,Rua Bernardo de Claraval,77,,Jardim Pouso Alegre,04832-000,São Paulo,SP,"-23.73164,-46.7173445",False
80986,Rua Lacorderio Fernandes Dantas,57,Acesso pela rua do Caneco Amassado,Centro,58910-000,São João do Rio do Peixe,PB,"-6.726751364888274,-38.448543548583984",False
80987,Avenida dos Holandeses,4,"Ed. Manhatan, Quadra 6 - SEMA",Calhau,65071-380,São Luís,MA,"-2.4885227,-44.2258283",False
80988,Rua Cícero Jaime Bley,s/n,Hangar 38,Aeroporto Bacacheri,82515-180,Curitiba,PR,"-25.397558,-49.231609",False
80989,Praça Gabriel Botelho,5,,Centro,37720-000,Botelhos,MG,"-21.641638,-46.391451",False
80990,Avenida da Universidade,2853,Térreo da Reitoria,Benfica,60020-181,Fortaleza,CE,"-3.7383329,-38.5366702",False
80991,Rua do Rosário,700,2ª andar,Centro,13400-183,Piracicaba,SP,"-22.7220552,-47.6501833",False
80992,Praça do Engenho Novo,s/n,Cabine nº 3,Engenho Novo,20770-000,Rio de Janeiro,RJ,"-22.902858,-43.270332",False
80993,Rua 11 de Junho,s/n,,Centro,11850-000,Miracatu,SP,"-24.282883,-47.459254",False
80994,Rua Tiradentes,219,,Não Informado,98980-000,Porto Lucena,RS,"-27.857357,-55.010566",False
80995,Praça As Primaveras,63,,Barra de São João,28880-000,Casimiro de Abreu,RJ,"-22.590039505200675,-41.99312180184744",False
80996,Avenida Senador Atílio Fontana,s/n,,Efapi,89809-060,Chapecó,SC,"-27.0968168,-52.6664883",False
80997,Rua Nicarágua,2641,Bosque Rosacruz,Bacacheri,82515-260,Curitiba,PR,"-25.3906849659878,-49.2262709140778",False
80998,Avenida São João,649,,Icatu,18110-210,Votorantim,SP,"-23.5427696,-47.4542108",False
80999,Avenida Dom Lúcio,755,,Centro,18602-092,Botucatu,SP,"-22.893544,-48.445107",False
81000,Praça Garcia,s/n,,Centro,25850-000,Paraíba do Sul,RJ,"-22.158954,-43.304424",False
81001,Estrada BJ 09,s/n,Km 10 zona rural,Zona Rural,28660971,Bom Jardim (Rio de Janeiro),RJ,"-22.1631542,-42.42579119999999",False
