ID,Logradouro,Número,Complemento,Bairro,CEP,Município,UF,Localização,Geolocalização manual
80119,Endereço provisório: Rua Tubarão,305,,Centro,88301-470,Itajaí,SC,"-26.9138810559679,-48.6550140380859",False
80120,Alameda Santo Antão,1833,Granja,Distrito de Mangabeira,59280-000,Macaíba,RN,"-5.852888480169142,-35.35245895385742",False
80121,Rua Paulo Turkiewicz,150,Localizado na sede do IML de Curitiba,Tarumã,82821-030,Curitiba,PR,"-25.4239035,-49.2143583",False
80122,Rua Julio de Castilhos,707,,Centro,95560-000,Torres,RS,"-29.339603,-49.7250584",False
80123,Canela,3570,,Não Informado,95680-000,Canela,RS,"-29.3706783,-50.86225760000002",False
80124,Rua Francisco Custodio de Azevedo,2,,São João,62360-000,Ibiapina,CE,"-3.93085503805967,-40.8885383605957",False
80125,Rua Josefina Mingarelli,s/n,,Jardim Presidente,79015-350,Campo Grande (Mato Grosso do Sul),MS,"-20.3994566,-54.585565",False
80126,Estação das Docas - Pará 2000 - Avenida Boulevard Castilho França,s/n,Galpão 3 Mezzanino,Campina,66010-020,Belém (Pará),PA,"-1.45122,-48.502268",False
80127,Rua dos Coelhos,300,,Boa Vista,500700-550,Recife,PE,"-8.067418,-34.889303",False
80128,Rua Professor Rivadavia Marques Júnior,338,,Centro,18400-370,Itapeva (São Paulo),SP,"-23.9847692,-48.876553599999966",False
80129,Rua da Imperatriz,220,,Centro,25610-320,Petrópolis,RJ,"-22.509004,-43.175782",False
80130,"Rodovia Asa Branca, km 38, Rodovia BR 122",s/n,,Gonzagão,56230-000,Exu,PE,"-7.504045,-39.724152",False
80131,Rua Macário Marques Caetano,356,,Centro,75245-000,Caldazinha,GO,"-16.712115,-49.001713",False
80132,Rua Doutor José Botelho Veloso,s/n,,Vila São João,13480-729,Limeira,SP,"-22.5644524302612,-47.4124646186829",False
80133,Avenida Borges de Medeiros,997,,Lagoa,22430-041,Rio de Janeiro,RJ,"-22.979282,-43.217449",False
80134,Rua Doutor José de Miranda Ramos,421,,Centro,89820-000,Xanxerê,SC,"-26.8775867,-52.4025932",False
80135,Praça Antônio Gomes,514,,Centro,59610-150,Mossoró,RN,"-5.193706,-37.342374",False
80136,Avenida Jorge Ivan da Costa Gertum,9805,Laranjal Parque Hotel,Praia do Laranjal - Parque Costa Verde,96090-850,Pelotas,RS,"-31.765396,-52.337596",False
80137,Rua Carlos Brant,14,,Santa Teresa,20240-220,Rio de Janeiro,RJ,"-22.920033,-43.185725",False
80138,Praça João Sarkis Filho,s/n,Praça,Centro,13974-361,Itapira,SP,"-22.4376670996117,-46.8261551856995",False
80139,"Largo de São Sebastião, s/n",s/n,,Centro,69025-140,Manaus,AM,"-3.13023719546969,-60.0234312191606",False
80140,Rua Daniel Muraro,854,,Centro,85840-000,Céu Azul,PR,"-25.149349,-53.84199",False
80141,Avenida Cuiabá com Arnaldo Estêvão de Figueiredo,s/n,Em frente a Praça Brasil,Centro,78700-090,Rondonópolis,MT,"-16.467687,-54.637666",False
80143,Rua do Arouche,24,Loja 518 – Piso Mezanino,República,01043010,São Paulo,SP,"-23.5426725,-46.644517",False
80144,Avenida do Comércio,463,,Centro,98360-000,Rodeio Bonito,RS,"-27.474686,-53.171105",False
80145,Avenida Hermes da Fonseca,407,1º andar - Mercado Público de Petrópolis,Petrópolis,59014-165,Natal,RN,"-5.786918,-35.195474",False
80146,Praça João Werneck,173,,Monte Serrat,25870-000,Comendador Levy Gasparian,RJ,"-22.040917,-43.214437",False
80147,Avenida Lourival Melo Mota,s/n,,Tabuleiro do Martins,57072-900,Maceió,AL,"-9.559266,-35.779089",False
80148,Rua Julio de Castilhos,609,Interior,Centro,97220-000,Faxinal do Soturno,RS,"-29.5767391,-53.4438367",False
80149,Rodovia BR 079 - km 12,s/n,Campus II da UFPB - Centro de Ciências Agrárias,Campus Universitário,58397-000,Areia,PB,"-6.964369,-35.698058",False
80150,Ilha do Mel,s/n,,Não Informado,83251-000,Paranaguá,PR,"-25.51657,-48.523004",False
80151,Rua Antônio da Veiga,140,,Vitor Konder,89012-900,Blumenau,SC,"-26.906012,-49.077685",False
80152,Rua Gaspar Viana,746,Complexo Histórico Tiradentes,Reduto,66053-090,Belém (Pará),PA,"-1.44740204733391,-48.4958173893392",False
80153,Rua Vice-Governador Rubens Berardo,100,,Gávea,24510-701,Rio de Janeiro,RJ,"-22.977814,-43.230013",False
80154,Avenida Vital Brasil,1500,,Butantã,05503-900,São Paulo,SP,"-23.569211,-46.714742",False
80155,Rua Direita,93,Entrada pela Rua da Cadeia,Centro,36325-000,Tiradentes,MG,"-21.1095563,-44.1765638",False
80156,Rua Albion,385,,São José,91530-010,Porto Alegre,RS,"-30.0576,-51.165247",False
80157,Rua Bernardo Ramos,117,Instituto Geográfico e Histórico do Amazonas,Centro,69005-310,Manaus,AM,"-3.134014,-60.028568",False
80158,Rua Maria Tomásia,531,,Aldeota,60150-170,Fortaleza,CE,"-3.735391,-38.497354",False
80159,Rua Dois de Dezembro,63,6º nível,Flamengo,22220-040,Rio de Janeiro,RJ,"-22.92986,-43.17674",False
80160,Rua Dona Germaine Burchard,451,,Água Branca,05002-060,São Paulo,SP,"-23.5297743999788,-46.6722071170807",False
80161,Avendia Primeiro de Junho,1043,,Centro,39705-000,São João Evangelista,MG,"-18.5479196270222,-42.7644968032837",False
80162,Avenida Litorânea,1091,,Redinha Nova,59575-000,Extremoz,RN,"-5.725346,-35.203548",False
80163,Avenida Ariosto da Riva,3075,,Centro,78580-000,Alta Floresta,MT,"-9.874757,-56.085974",False
80164,Alameda Jaú,1061,,Jardim Paulista,01420-003,São Paulo,SP,"-23.5632003898296,-46.6590428352356",False
80165,Praça Heliodoro Balbi,s/n,,Centro,69005-260,Manaus,AM,"-3.13538835,-60.0214275181017",False
80166,"BR 040, km 0",s/n,Saída Sul,Park Way,71475-000,Brasília,DF,"-15.9475577993632,-47.988469004631",False
80168,Avenida José Lozano de Araújo,1515,Divisão de Patrimônio Histórico e Cultural,Parque Brasil 500,13141-901,Paulínia,SP,"-22.78425065,-47.1585260649605",False
80169,Rodovia Ilhéus-Itabuna km 28,s/n,,Zona Rural,45662-000,Ilhéus,BA,"-14.7909824974948,-39.2091751098633",False
80170,Estrada do Pau-da-Fome,4003,Núcleo Pau-da-Fome,Jacarepaguá,22723-490,Rio de Janeiro,RJ,"-22.931241,-43.439852",False
80171,Rua do Telégrafo,s/n,,Natal,42809-000,Camaçari,BA,"-12.6979991774065,-38.3220666646957",False
80172,Rua David de Oliveira,420,,Centro,15400-000,Olímpia,SP,"-20.737038,-48.907489",False
80173,Avenida XV de Novembro,s/n,,Centro,85560-000,Chopinzinho,PR,"-25.852026,-52.517803",False
80174,Avenida das Hortênsias,5507,,Carriel,95670-000,Gramado,RS,"-29.3737313,-50.8646966",False
80175,Avenida São João,473,Térreo e Sobreloja - Centro Cultural Olido,República,01035-000,São Paulo,SP,"-23.5434541,-46.6390538",False
80176,Rua Santa Joana D’arc,795,Sopé do Morro de São Bento,Morro de São Bento,11082-460,Santos,SP,"-23.935144,-46.335708",False
80177,Rua do Motor,35,,Monte Azul,45834-000,Jucuruçu,BA,"-16.8421691063905,-40.160436630249",False
80178,Rua XV de Novembro,247,,Centro,16010-410,Araçatuba,SP,"-21.203845,-50.438195",False
80179,Antônio Leopoldino,185,,Centro,13960-000,Socorro,SP,"-22.5897143093824,-46.5294009447098",False
80180,Passagem Bolonha,134,na Sede da Sociedade Médico Cirúrgica do Pará,Nazaré,66053-060,Belém (Pará),PA,"-1.4510046,-48.4908403",False
80181,Rua Djalma Dutra,128,,Centro,65010-170,São Luís,MA,"-2.5288837,-44.3062479",False
80182,Avenida Rui Barbosa,s/n,em frente ao nº 560,Flamengo,22250020,Rio de Janeiro,RJ,"-22.9419239,-43.1734345",False
80183,Avenida Dalzoto,s/n,,Centro,85225-000,Boa Ventura de São Roque,PR,"-24.869276,-51.628111",False
80184,Avenida Igomer de Barros,363,,Dona Lode,35530-000,Cláudio,MG,"-20.444151,-44.76776",False
80185,Rua Alameda Maurício de Nassau,894,,Centro,13825-000,Holambra,SP,"-22.620311,-47.061265",False
80186,Rua Sambaqui da Beirada,s/n,,Barra Nova,28990-000,Saquarema,RJ,"-22.9153931356998,-42.4552917480469",False
80187,Rua Capitão João Batista,254,,Centro,18660-026,Pratânia,SP,"-22.8103695,-48.6660146",False
80188,Rua Machado de Assis,48,Prédio,Centro,96690-000,Pantano Grande,RS,"-30.1916723314517,-52.3723411560059",False
80189,Avenida Tiradentes,500,,Centro,12030-180,Taubaté,SP,"-23.030982,-45.565335",False
80190,Estrada Dona Castorina,105,,Jardim Botânico,22460-320,Rio de Janeiro,RJ,"-22.967141,-43.237195",False
80191,Rua Padre Batalha,103,,Centro,55900-000,Goiana (Pernambuco),PE,"-7.5601404,-34.9950166",False
80192,Avenida Embaúbas,911,,Centro,78550-001,Sinop,MT,"-11.8582581743183,-55.504732131958",False
80193,Avenida Sampaio Vidal,245,Centro Cultural de Marília,Centro,17500-020,Marília,SP,"-22.218802,-49.948385",False
80194,Avenida Ivo do Prado,1072,Casa,São José,49015-070,Aracaju,SE,"-10.9248794,-37.0436819",False
80195,Avenida Doutor Heitor Pentado,2145,,Taquaral,13087-000,Campinas,SP,"-22.877097,-47.061723",False
80196,Avenida Beira Rio Joaquim Miguel Dutra,448,,Centro,13400-820,Piracicaba,SP,"-22.7192748,-47.6544309",False
80197,Parque Juca Mulato,s/n,,Centro,13970-000,Itapira,SP,"-22.4398339,-46.8211019",False
80198,Rodovia MG - 439,1000,,Emidinho,35582-000,Pains,MG,"-20.370944,-45.66312",False
80199,Antigo Prédio da Estação Ferroviária,s/n,,Centro,59770-000,Patu,RN,"-6.099633531042815,-37.63838768005371",False
80200,Rua Tiradentes,47,47,Ingá,24210510,Niterói,RJ,"-22.9016929,-43.1261265",False
80201,Avenida Monteiro Lobato,s/n,,Chácara do Visconde,12030-730,Taubaté,SP,"-23.003867,-45.529699",False
80202,Rua Antônio Núbile de Fança,s/n,,Chácara da Saudade,23970-000,Paraty,RJ,"-23.223605,-44.723125",False
80203,Rua Cristóvão Colombo,1034,,Castelânea,25640-322,Petrópolis,RJ,"-22.524746,-43.186149",False
80204,Avenida Senador Filinto Muller,s/n,,Universitário,79080-190,Campo Grande (Mato Grosso do Sul),MS,"-20.5092605,-54.6217169",False
80205,Rua das Rosas,24,,Itacoatiara,24348-120,Niterói,RJ,"-22.972867,-43.036462",False
80206,Rua do Matão,277,Cidade Universitária - Edifício Sobre-as-Ondas,Butantã,05508-090,São Paulo,SP,"-23.5660914,-46.7311918",False
80207,Rua Coronel Diniz,222,,Centro,37240-000,Luminárias,MG,"-21.512099,-44.9047974",False
80208,Estrada das Canoas,2310,,São Conrado,22610-210,Rio de Janeiro,RJ,"-22.991427,-43.274191",False
80209,Largo General Osório,s/n,2º andar,Estação Pinacoteca,01213-010,São Paulo,SP,"-23.5355398,-46.638866",False
80210,Rua Sarmento Leite,933,,Cidade Baixa,90050-170,Porto Alegre,RS,"-30.0333106,-51.2211742",False
80211,Praça XV de Novembro,48,,Centro,20010-010,Rio de Janeiro,RJ,"-22.9036033,-43.1742886",False
80212,Estrada de Santa Cruz dos Navegantes,s/n,Acesso pelo Clube Municipal de Guarujá Saldanha da Gama,Santa Cruz dos Navegantes,11425-260,Guarujá,SP,"-23.9942804547333,-46.3067293167114",False
80213,Colina do Horto,s/n,,Horto,63012-010,Juazeiro do Norte,CE,"-7.19661,-39.307952",False
80214,Rua Presidente Domiciano,178-182,,Ingá,24210-271,Niterói,RJ,"-22.903677,-43.125027",False
80215,"Rodovia BR 010, km 80",s/n,Chácara Latino Americano - Lagoa da Cruz (saída para Rochedinho),Centro,79002-351,Campo Grande (Mato Grosso do Sul),MS,"-20.456599,-54.621162",False
80217,Avenida João Luiz Billig,189,,Centro,96990-000,Estrela Velha,RS,"-29.177662725174,-53.1594407558441",False
80219,Avenida José de Moura Resende,475,,Vera Cruz,12287-650,Caçapava,SP,"-23.1051152688995,-45.7183384895325",False
80221,Serra da Barriga,s/n,,Centro,57800-000,União dos Palmares,AL,"-9.6369877,-35.7018493",False
80222,Rua Djalma Dutra,156,"Prédio Castelinho, Segundo Piso/CCSE",Umarizal,66050-540,Belém (Pará),PA,"-1.43164636130902,-48.488427400589",False
80223,Avenida Ivaldo Alves Veras,s/n,Complexo Sambódromo,Jardim Marco Zero,68903-032,Macapá,AP,"0.002561,-51.075875",False
80224,Estrada Municipal José Sandrin,s/n,Faculdade de Ciências - IPMet - UNESP,Chácaras Bauruenses,17048-699,Bauru,SP,"-22.3582792,-49.0272456",False
80225,Aldeia Novo Mundo,s/n,Zona Rural,Zona Rural,63780-000,Monsenhor Tabosa,CE,"-4.78694937882902,-40.0627613067627",False
80226,Praça Coronel João Pedro,102,,Centro,13920-000,Pedreira,SP,"-22.74171,-46.910543",False
80227,Rua Evaristo Pereira de Souza,s/n,,Centro,88652-500,Urupema,SC,"-27.9550223890773,-49.8760414123535",False
80228,Avenida Júlio de Castilhos,3743,Parque de Eventos Centenário Rui Ortiz,Expedicionário,99300-000,Soledade (Rio Grande do Sul),RS,"-28.8210639354718,-52.4825477600098",False
80229,Avenida Roraima,1000,Prédio 13 – Centro de Ciências Naturais e Exatas,Camobi,97105-900,Santa Maria (Rio Grande do Sul),RS,"-29.718682,-53.729393",False
80230,Rua Frederico Borges,545,,Varjota,60175-040,Fortaleza,CE,"-3.7343719,-38.4889961",False
80231,Avenida XV de Novembro,s/n,Praça Central,Centro,85360-000,Virmond,PR,"-25.38339,-52.19922",False
80232,Rua João Batista Celestino,s/n,portaria 2,Morada de Camburi,29066-140,Vitória,ES,"-20.2758476,-40.2973716",False
80233,Rua UO - Campus Seropédica,s/n,Universidade Federal Rural do Rio de Janeiro,Universidade,23890-000,Seropédica,RJ,"-22.7690305,-43.6869836",False
80234,Rua Bispo Dom Carlos,122,,Centro,85555-000,Palmas (Paraná),PR,"-26.483884,-51.993618",False
80235,"Tribunal Regional Federal (TRF), Praça dos Tribunais Superiores Bloco A",s/n,,Asa Sul,70070-900,Brasília,DF,"-15.8008061,-47.8804762",False
80236,Rua Pedro Palácios,99,Edifício das Fundações,Cidade Alta,29015-160,Vitória,ES,"-20.3205123112035,-40.3385674953461",False
80237,Rua Dias da Cruz,638,sala 204,Méier,20720-013,Rio de Janeiro,RJ,"-22.9030382,-43.2823739",False
80239,Fazenda Engenho Central,1,,Zona Rural de Pontal,14180-000,Pontal,SP,"-21.0131678289024,-48.0274200439453",False
80240,Praça Tiradentes,"67,69,71",,Centro,20060-070,Rio de Janeiro,RJ,"-22.9073408,-43.1839051",False
80241,Rua São Paulo,372,NE,Centro,78360000,Campo Novo do Parecis,MT,"-13.6555902,-57.8919308",False
80242,Rua Espírito Santo,s/n,,Distrito de Regência,29900-000,Linhares,ES,"-19.648528871264833,-39.824806451797485",False
80243,Avenida Independência,75,,Independência,90035-072,Porto Alegre,RS,"-30.0298664,-51.2208419",False
80244,Praça da Luz,s/n,,Luz,01120-010,São Paulo,SP,"-23.5347324,-46.6352131",False
80245,Praça Castro Alves,106,,Centro,44345-000,Cabaceiras do Paraguaçu,BA,"-12.532136,-39.190595",False
80246,"Estrada Graciosa, km 20",7400,Sorocaba 200,Bela Vista,83327-000,Pinhais,PR,"-25.443438,-49.193152",False
80247,"Estrada Caldeirões Nordestina, km 7",s/n,,Parque,44720-000,Miguel Calmon,BA,"-11.430324,-40.603459",False
80248,"BR 287 km 292, Estrada da Carpintaria",120,,Carpintaria,97400-000,São Pedro do Sul,RS,"-29.6362393,-54.185645",False
80249,"Folha 31, Quadra Especial, Lote 01",Lote 01,Próximo à FUNAI,Nova Marabá,68507-670,Marabá,PA,"-5.35444000979843,-49.0882015228271",False
80250,Rua Marechal Deodoro,522,,São João,59655-000,Areia Branca (Rio Grande do Norte),RN,"-4.956325,-37.133631",False
80251,http://www.muco.com.br,s/n,,Centro,01014-911,São Paulo,SP,"-23.5505199,-46.6333094",False
80252,http://mvim.ibict.br/,s/n,,Centro,22290-160,Rio de Janeiro,RJ,"-22.9068467,-43.1728965",False
80253,Avenida Farid Miguel Safatle,480,,Centro,75701-040,Catalão,GO,"-18.169637388968535,-47.947200949077015",False
80254,Rua Hermann Weege,544,,Centro Histórico,89107-000,Pomerode,SC,"-26.7342168,-49.1739813",False
80255,Campus UFCG Aprigio Veloso,882,,Bodocongó,58429-900,Campina Grande,PB,"-7.215111,-35.907439",False
80256,Rua Teodoro Kaizel,883,,Vila Hortência,18020-268,Sorocaba,SP,"-23.506936,-47.4381039",False
80257,Praça Dom Frei Caetano Brandão,s/n,,Cidade Velha,66020-310,Belém (Pará),PA,"-1.454953,-48.504932",False
80259,Rua Freitas e Castro,740,,Azenha,90040-401,Porto Alegre,RS,"-30.0472764,-51.2104418",False
80260,Rua Saldanha Marinho,161,,Centro,80410-150,Curitiba,PR,"-25.429099857306603,-49.27249610424041",False
80261,Rua São José,s/n,Casa,Centro,57470-000,Olho d'Água do Casado,AL,"-9.503995,-37.830421",False
80262,"Rodovia Juscelino Kubitscheck, km 01",s/n,"Campus Marco Zero, Bloco Q, Sala 1 e 4",Zerão,68900-000,Macapá,AP,"0.034589,-51.069844",False
80263,Praça Avenida Adriano Pimentel,s/n,,Prainha,68100-000,Santarém,PA,"-2.418708,-54.70831",False
80264,Rua Caraúna Praça 04,s/n,ONG Ecoassociados,Porto de Galinhas,55590-000,Ipojuca,PE,"-8.50674751693814,-35.0020605325699",False
80265,Avenida João Ometto,200,,Jardim Panambi,13450-034,Santa Bárbara d'Oeste,SP,"-22.7653665,-47.4289885",False
80266,Rua Sete de Setembro,2059,,Centro,85880-000,Itaipulândia,PR,"-25.137094,-54.300622",False
80267,Rua XV de Novembro,575,,Centro Histórico,83203-010,Paranaguá,PR,"-25.52168,-48.507204",False
80268,Avenida T - 1 esquina com Rua Orestes Ribeiro,s/n,,Setor Bueno,74210-025,Goiânia,GO,"-16.699422445425,-49.2721796035767",False
80269,"Avenida Paula Ferreira, de 707 ao fim - lado ímpar",2159,Casa,Vila Pirituba,02915-100,São Paulo,SP,"-22.0245456012403,-49.6142578125",False
80270,Avenida Frederico Segalla,3099,,Centro,95112-310,Caxias do Sul,RS,"-29.1937547897727,-51.2561988830566",False
80271,Avenida 7 de Setembro,s/n,Complexo Ferroviário da Estrada de Ferro Madeira-Mamoré,Centro,78900-000,Porto Velho,RO,"-8.761158,-63.900436",False
80272,Praça Nossa Senhora do Rosário,s/n,,Jaboatão Centro,54000-000,Jaboatão dos Guararapes,PE,"-8.11195813312668,-35.0198864936829",False
80273,Ilha de Anhatomirim,s/n,,Ilha de Anhatomirim,88190-000,Governador Celso Ramos,SC,"-27.426418629516192,-48.56426416137321",False
80274,Rua XV de Novembro,s/n,Prédio da Estação de São Francisco,Centro,48000-000,Alagoinhas,BA,"-12.141373,-38.432062",False
80275,Rua Padre Ibiapina,001,Prédio Histórico,Centro,56870-000,Triunfo (Pernambuco),PE,"-7.83770918916062,-38.1037616729736",False
80276,Praça Cônego Victor,s/n,,Centro,37190-000,Três Pontas,MG,"-21.3669343,-45.5122273",False
80277,Rua Francisco Schaffer,s/n,Jardim Schaffer,Vista Alegre,80820-200,Curitiba,PR,"-25.406096,-49.285545",False
80278,Rua Padre Paulo,s/n,Anexo à Biblioteca Municipal Castro Alves,Centro,19600-000,Rancharia,SP,"-22.22395,-50.892636",False
80279,Praça Henrique Vieira,179,Casa,Centro,37140-000,Areado,MG,"-21.3576773,-46.1462923",False
80280,Avenida Independência,270,,Centro,90035-070,Porto Alegre,RS,"-30.029325,-51.218993",False
80281,Praça Dona Iza,s/n,,Centro,84990-000,Arapoti,PR,"-24.1453609,-49.8268256",False
80282,Praça Leopoldina Wilke,s/n,,Centro,78560-000,Porto dos Gaúchos,MT,"-11.53563,-57.4131109787931",False
80283,Rua Barão do Amazonas,323,,Centro,14010-120,Ribeirão Preto,SP,"-21.175185,-47.806167",False
80284,Rua Rui Barbosa,710,Campus Universitário da UFRB/antigo bairro dos professores,Centro,44380-000,Cruz das Almas,BA,"-12.6735557,-39.1016848",False
80286,Campus Universitário Reitor João David Ferreira Lima,s/n,,Trindade,88040-900,Florianópolis,SC,"-27.6023716948064,-48.523907661438",False
80287,Praça Dom Pedro II,s/n,,Cidade Velha,66020-240,Belém (Pará),PA,"-1.4556518,-48.5027974",False
80288,Avenida Rio Branco,443,"Instituto Federal de Educação, Ciências e Tecnologia do Rio Grande do Norte",Cidade Alta,59025-000,Natal,RN,"-5.782575,-35.205361",False
80289,Rua Luis Loréa,261,,Centro,96200-350,Rio Grande,RS,"-32.032821,-52.094379",False
80290,Praça de Itaipu,s/n,,Itaipu,24340-005,Niterói,RJ,"-22.971325,-43.04492",False
80291,Avenida Coronel Francisco Heráclito dos Santos,100,Centro Politécnico / Setor de Ciências Biológicas,Jardim das Américas,81531-980,Curitiba,PR,"-25.44703779348251,-49.23272115397046",False
80292,Rua Israel Pinheiro,176,,Centro,34800-000,Caeté,MG,"-19.896566,-43.670983",False
80293,Avenida Osvaldo Aranha,s/n,Praça Argentina,Centro Histórico,90040-020,Porto Alegre,RS,"-30.0319935641957,-51.2218075990677",False
80294,"Praça dos Tribunais Superiores, Bloco B",s/n,2º andar,Setor de Autarquias Sul,70098-900,Brasília,DF,"-15.798838,-47.88006",False
80295,Rua São José,40,PAV 4,Centro,20010-020,Rio de Janeiro,RJ,"-22.9046360156015,-43.1744509935379",False
80296,Avenida 17 de Agosto,2187,,Casa Forte,52061-540,Recife,PE,"-8.030764,-34.924662",False
80297,"Rodovia Augusto Montenegro, km 03",s/n,Ao lado do Ginásio Mangueirinho,Mangueirão,66640-000,Belém (Pará),PA,"-1.378346,-48.4452322",False
80298,SG 13 Campus Darcy Ribeiro,s/n,Universidade de Brasília,Asa Norte,70900-100,Brasília,DF,"-15.765164,-47.869916",False
80299,Avenida Carlos Chagas Filho,373,Edifício do Centro de Ciências da Saúde,Cidade Universitária,21941-902,Rio de Janeiro,RJ,"-22.8412901,-43.2348184",False
80300,Avenida Professor Luiz Freire,1000,,Cidade Universitária,50730-540,Recife,PE,"-8.0581036,-34.9508091",False
80301,Prédio da Reitoria UFPB,s/n,Térreo - Cidade Universitária,Castelo Branco,58059-900,João Pessoa,PB,"-7.137578,-34.844512",False
80302,Praça Santo Antônio,167,,Santo Antônio,14300-000,Batatais,SP,"-20.907741,-47.567966",False
80303,Rua Telegrafista Geraldo Fagundes de Araújo,10,,Gramame,58051-990,João Pessoa,PB,"-7.2111775929843,-34.8781585693359",False
80304,Avenida 15 de Maio,s/n,,Centro,15910-000,Monte Alto,SP,"-21.2579614180327,-48.4937274456024",False
80305,Rua Floriano Peixoto,s/n,,São José,50020-065,Recife,PE,"-8.05664294898658,-34.9004209041595",False
80306,Rua 13 de Maio,662,,Centro,18800-000,Piraju,SP,"-23.194073,-49.385798",False
80308,Avenida Almirante Barroso,3089,Prédio Sede do TJPA,Souza,66613-710,Belém (Pará),PA,"-1.425514,-48.4520078",False
80309,Avenida Presidente Tancredo Neves,6731,PTI – Parque Tecnológico Itaipu (Itaipu Binacional),Usina Hidrelétrica de Itaipu,85867-900,Foz do Iguaçu,PR,"-25.446827,-54.585094",False
80310,Avenida Major Aprígio da Fonseca,420,,São Sebastião,55660-000,Bezerros,PE,"-8.2417352,-35.750103",False
80311,Rua Sergipe,640,,Centro,86010-380,Londrina,PR,"-23.3094685657522,-51.1594462394714",False
80312,Avenida Andrade Soarez,150,Área Continental de Santos,Caruara,11200-970,Santos,SP,"-23.8840522757489,-46.1907076835632",False
80313,Rua Tarobá,875,,Centro,85851-220,Foz do Iguaçu,PR,"-25.534111,-54.588468",False
80314,Rua Dona Ovídia,48,,Centro,37360-000,Arantina,MG,"-21.910659,-44.255947",False
80315,Rua Álvaro Fonseca de Oliveira,145,Fundo do Cemitério,Centro,49500-000,Itabaiana (Sergipe),SE,"-10.6888900027532,-37.4246102571487",False
80316,Rua Abelardo Martins,213,Sede Provisória da Associação Nossa Luta / Auditório da Casa Brasil,Sítio Cercado,81900-600,Curitiba,PR,"-25.535712,-49.2781576",False
80317,Rua Dom Manoel de Medeiros,s/n,,Dois Irmãos,52171-900,Recife,PE,"-8.014239,-34.950787",False
80318,Rua Ouro Fino,395,sala 603,Cruzeiro,30310-110,Belo Horizonte,MG,"-19.9417481,-43.9257376",False
80319,Rua Nossa Senhora da Pena,14,,Centro,39170-000,Rio Vermelho,MG,"-18.2932943731997,-43.0101442337036",False
80320,Rua São Vicente,102,,Vila Colonial de Cocais,35975-000,Barão de Cocais,MG,"-19.939423,-43.47594",False
80321,Rua Coronel Cipriano Rodrigues de Miranda,s/n,,Vilela,36205-344,Barbacena,MG,"-21.216821,-43.755018",False
80322,Avenida Senador Lemos,574,,Umarizal,66050-000,Belém (Pará),PA,"-1.4383229,-48.4879291",False
80323,Rua Muniz Barreto,54,,Centro,13730-040,Mococa,SP,"-21.469826,-47.00195",False
80324,Avenida Brasília,1115,Complexo do Hospital de Dermatologia Sanitária do Paraná,Jardim Esmeralda,83301-390,Piraquara,PR,"-25.4501337034034,-49.0955400466919",False
80325,Rua Tiradentes,s/n,,Centro,65950-000,Barra do Corda,MA,"-5.50812943810038,-45.2476000785828",False
80326,Avenida João Serra Machado,22,Prédio,São José,35640-000,Pompéu,MG,"-19.8680616,-43.7718761",False
80327,Rua José de Alencar,13-19,Largo do Pelourinho,Pelourinho,40026-280,Salvador,BA,"-12.928396,-38.47634",False
80328,Avenida Sete de Setembro,2340,,Vitória,40080-001,Salvador,BA,"-12.993516,-38.526017",False
80329,Praça Visconde de Parnaíba,72,,Centro Histórico,64500-000,Oeiras,PI,"-7.01578,-42.131032",False
80330,Rua Francisco Cunha,30,Ao lado do Theatro,Centro,83750-000,Lapa,PR,"-25.768102727163296,-49.71713662147522",False
80332,"Rodovia BR 218, km 1",s/n,,Parque,87850-000,Amaporã,PR,"-23.094741,-52.787098",False
80333,Avenida Rouxinol,s/n,,Centro,86701-150,Arapongas,PR,"-23.406472,-51.429384",False
80334,Rua Andrade Neves,679,,Auxiliadora,96640-000,Rio Pardo,RS,"-29.988523,-52.371658",False
80335,Avenida Borges de Medeiros,1945,,Centro,90110-900,Porto Alegre,RS,"-30.0437225,-51.2290355",False
80336,Praça XV de Novembro,214,,Centro,88010-400,Florianópolis,SC,"-27.5980836259699,-48.549656867981",False
80337,Rua Sete de Setembro,38,Praça da República,Centro,96190-000,Dom Feliciano,RS,"-30.6639034374516,-52.130126953125",False
80339,Avenida Osvaldo Aranha,277,Campus Centro,Farroupilha,90035-190,Porto Alegre,RS,"-30.032000543309536,-51.219798649723536",False
80340,Rua Teodoro Sampaio,115,"Prédio do Instituto Oscar Freire - FMUSP, Sala Estácio Lima",Cerqueira César,05405-000,São Paulo,SP,"-23.554662,-46.672618",False
80341,Avenida Epitácio Pessoa,2480,,Lagoa,22471-003,Rio de Janeiro,RJ,"-22.975821,-43.198505",False
80342,Praça Cívica,13,,Setor Central,74010-003,Goiânia,GO,"-16.663272,-49.261328",False
80343,"Rodovia BR 367, km 75 - Aldeia Pataxó",s/n,,Coroa Vermelha,45807-000,Santa Cruz Cabrália,BA,"-16.282996,-39.029864",False
80344,Rua Antonio Alves,9-10,Esquina com Rua Exequiel Ramos,Centro,17010-170,Bauru,SP,"-22.3202147183794,-49.0705847740173",False
80345,Rua Cristina Tomás,183,,Bom Retiro,01129-020,São Paulo,SP,"-23.5197055,-46.6452852",False
80346,Rua 03 de maio,365,2º andar,Centro,89140000,Ibirama,SC,"-27.0572456,-49.5164732",False
80347,Rua dos Ferroviários,s/n,,Centro,39250-000,Lassance,MG,"-17.8895316,-44.5815648",False
