ID,Título,Esfera,Status de Funcionamento,Tipo,Temática,Estado,Município,Site Oficial,Link no MuseusBR
82158,Memorial e Espaço Cultural Casa do Leite,PÚBLICA – Municipal,Fechado,Museu de Território/Ecomuseu,"Artes, arquitetura e linguística",RS,Cachoeirinha (Rio Grande do Sul),,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82158
82159,Museu Escolar Arnildo Hoppen,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,RS,São Leopoldo,http://www.sinodal.com.br/museu/index.html,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82159
82160,Museu do Esporte Catarinense,PÚBLICA – Estadual/Distrital,Fechado,- NÃO INFORMADO -,- NÃO INFORMADO -,SC,Florianópolis,http://www3.sol.sc.gov.br/fesporte/paginasprincipais/framegeral.asp,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82160
82161,Casa da Memória Sebastião Nairo Barcelos,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,MS,Alcinópolis,https://www.alcinopolis.ms.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82161
82162,Casa de Memória de Piên,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,PR,Piên,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82162
82163,Memorial do Mercado,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,RS,Porto Alegre,http://www.portoalegre.rs.gov.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82163
82164,Memorial da Arte Sacra e Devocional,PRIVADA – Não informada,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",CE,Senador Pompeu,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82164
82166,Museu Histórico de Goianésia Mário Augusto Alves,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,GO,Goianésia,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82166
82167,Museu Municipal de Muitos Capões,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,RS,Muitos Capões,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82167
82168,Museu da Associação dos Ex-combatentes do Brasil - Seção do ABCDMRR,PRIVADA – Associação,Aberto,Clássico/Tradicional,História,SP,Santo André (São Paulo),,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82168
82169,Museu Antônio Machado,- NÃO INFORMADA -,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,BA,Mulungu do Morro,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82169
82170,Fundação Cultural Museu do Vaqueiro,PRIVADA – Não informada,Aberto,Clássico/Tradicional,"Educação, esporte e lazer",RN,Natal,http://museudovaqueiro.com.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82170
82172,Fundação Museu de Ornitologia,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,GO,Goiânia,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82172
82174,Museu do Transporte,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,Meios de comunicação e transporte,SP,Taubaté,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82174
82175,Laboratório de Arqueologia do Museu Amazônico - Universidade Federal do Amazonas,PÚBLICA – Federal,Aberto,Clássico/Tradicional,Antropologia e arqueologia,AM,Manaus,https://www.museuamazonico.ufam.edu.br/sobre-a-divisao-de-arqueologia.html,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82175
82176,Museu Nacional da República,PÚBLICA – Estadual/Distrital,Aberto,Clássico/Tradicional,"Artes, arquitetura e linguística",DF,Brasília,https://www.cultura.df.gov.br/museu-nacional-republica/,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82176
82177,Museu do Açougue,PÚBLICA – Municipal,Aberto,Clássico/Tradicional,História,RS,Picada Café,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82177
82178,Comissão de Revitalização do Caboclo - Museu do Pai Chico,PRIVADA – Não informada,Aberto,Clássico/Tradicional,Antropologia e arqueologia,PE,Afrânio,http://www.caboclo.org.br,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82178
82179,Museu Memórias de Marialva,- NÃO INFORMADA -,Fechado,- NÃO INFORMADO -,- NÃO INFORMADO -,PR,Marialva,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82179
82180,Centro Histórico Expedicionário Dionísio João Comandolli,PÚBLICA – Municipal,Aberto,- NÃO INFORMADO -,- NÃO INFORMADO -,SC,Presidente Nereu,,https://cadastro.museus.gov.br/?post_type=tnc_col_208_item&p=82180
